file_name,file_path,line_number,assertion_code,line_count
map_RAM_writerTest.sv,/home/zhaiqingchen/assertion_workspace/dataset/verilog-repos2/2021/1/pacman-FPGA-master/map_RAM_writerTest.sv,65,assert (curr_ghost >= 5);,1
map_RAM_writerTest.sv,/home/zhaiqingchen/assertion_workspace/dataset/verilog-repos2/2021/1/pacman-FPGA-master/map_RAM_writerTest.sv,103,assert (curr_ghost >= 5);,1
wolf_goat_cabbage.sv,/home/zhaiqingchen/assertion_workspace/dataset/verilog-repos2/2021/1/part3_intro-main/wolf_goat_cabbage/wolf_goat_cabbage.sv,23,assume (w+g+c <= 1);,1
wolf_goat_cabbage.sv,/home/zhaiqingchen/assertion_workspace/dataset/verilog-repos2/2021/1/part3_intro-main/wolf_goat_cabbage/wolf_goat_cabbage.sv,27,cover(YOUR COVER STATEMENT HERE);,1
wolf_goat_cabbage.sv,/home/zhaiqingchen/assertion_workspace/dataset/verilog-repos2/2021/1/part3_intro-main/wolf_goat_cabbage/wolf_goat_cabbage.sv,31,assume (bank_w != bank_g);,1
wolf_goat_cabbage.sv,/home/zhaiqingchen/assertion_workspace/dataset/verilog-repos2/2021/1/part3_intro-main/wolf_goat_cabbage/wolf_goat_cabbage.sv,36,assume (bank_g != bank_c);,1
rvfi_instruction_check.sv,/home/zhaiqingchen/assertion_workspace/dataset/verilog-repos2/2021/1/bazel_yosys-main/hdl/cpu/riscv_formal/checks/rvfi_instruction_check.sv,125,cover(spec_valid);,1
rvfi_instruction_check.sv,/home/zhaiqingchen/assertion_workspace/dataset/verilog-repos2/2021/1/bazel_yosys-main/hdl/cpu/riscv_formal/checks/rvfi_instruction_check.sv,126,cover(spec_valid && !trap);,1
rvfi_instruction_check.sv,/home/zhaiqingchen/assertion_workspace/dataset/verilog-repos2/2021/1/bazel_yosys-main/hdl/cpu/riscv_formal/checks/rvfi_instruction_check.sv,127,cover(check && spec_valid);,1
rvfi_instruction_check.sv,/home/zhaiqingchen/assertion_workspace/dataset/verilog-repos2/2021/1/bazel_yosys-main/hdl/cpu/riscv_formal/checks/rvfi_instruction_check.sv,128,cover(check && spec_valid && !trap);,1
rvfi_instruction_check.sv,/home/zhaiqingchen/assertion_workspace/dataset/verilog-repos2/2021/1/bazel_yosys-main/hdl/cpu/riscv_formal/checks/rvfi_instruction_check.sv,131,assume(spec_valid);,1
