file_name,line_number,assertion_code,line_count
generator.sv,30,assert(tr1.randomize);,1
generator.sv,33,assert(tr2.randomize);,1
cdc_fifo_2phase.sv,44,assert(LOG_DEPTH > 0);,1
cdc_2phase_tb.sv,77,assert(tck_src > 0);,1
cdc_2phase_tb.sv,103,assert(tck_dst > 0);,1
rr_arb_tree_tb.sv,239,assert(exp_data === data_oup);,1
cdc_fifo_tb.sv,81,assert(tck_src > 0);,1
cdc_fifo_tb.sv,107,assert(tck_dst > 0);,1
graycode_tb.sv,24,assert(a == c);,1
find_first_one.sv,31,assert(WIDTH >= 0);,1
vortex_afu.sv,764,assert(!dbg_cci_rd_rsp_mask[cci_rd_rsp_tag]);,1
tb_fv.sv,250,"assume property( prv != 2'b10 ); // undefined privilege mode assume property( mpp != 2'b10 ); // undefined privilege mode for(genvar i = 0; i < pmp_entries; i++) begin // We never expect the carry position to be set from the outside, // this assumption is from a newer version of the code where a carry // bit has been added to fix one of the bugs, in the new NOEL-V code // pmpaddr is therefore one bit longer. //address_msb_0 : assume property(pmpaddr[i][`pmpaddrbits] == 0);",10
tb_fv.sv,263,assume property( pmpaddr[i] > 0);,1
tb_fv.sv,266,assume property(pmpaddr[i-1] != pmpaddr[i]); //eliminates null-range // address_max : assume property(pmpaddr[i][`pmpaddrbits-1:0] != '1);,2
pmp_top.sv,283,"assume property( prv != 2'b10 ); // undefined privilege mode assume property( mpp != 2'b10 ); // undefined privilege mode for(genvar i = 0; i < pmp_entries; i++) begin // We never expect the carry position to be set from the outside, // this assumption is from a newer version of the code where a carry // bit has been added to fix one of the bugs, in the new NOEL-V code // pmpaddr is therefore one bit longer. //address_msb_0 : assume property(pmpaddr[i][`pmpaddrbits] == 0);",10
pmp_top.sv,296,assume property( pmpaddr[i] > 0);,1
pmp_top.sv,299,assume property(pmpaddr[i-1] != pmpaddr[i]); //eliminates null-range // address_max : assume property(pmpaddr[i][`pmpaddrbits-1:0] != '1);,2
Master_read.sv,73,assert(RVALID ^ RLAST == 1'b0);//either both 0 or both 1 end end `READ_WAIT_RLAST : begin if(RLAST) nstate = `READ_IDLE;,7
properties.sv,21,assert( !A_EQ_B || error );,1
ariane_pkg.sv,86,assert(Cfg.RASDepth > 0);,1
ariane_pkg.sv,89,assert(Cfg.NrNonIdempotentRules <= NrMaxRules);,1
ariane_pkg.sv,90,assert(Cfg.NrExecuteRegionRules <= NrMaxRules);,1
ariane_pkg.sv,91,assert(Cfg.NrCachedRegionRules <= NrMaxRules);,1
ariane_pkg.sv,92,assert(Cfg.NrPMPEntries <= 16);,1
find_first_one.sv,33,assert(WIDTH >= 0);,1
cdc_fifo_gray.sv,48,assert(LOG_DEPTH > 0);,1
cdc_fifo_2phase.sv,44,assert(LOG_DEPTH > 0);,1
cdc_2phase_tb.sv,79,assert(tck_src > 0);,1
cdc_2phase_tb.sv,105,assert(tck_dst > 0);,1
cdc_fifo_tb.sv,83,assert(tck_src > 0);,1
cdc_fifo_tb.sv,109,assert(tck_dst > 0);,1
graycode_tb.sv,26,assert(a == c);,1
find_first_one.sv,31,assert(WIDTH >= 0);,1
axi_id_remap.sv,79,assert(ADDR_WIDTH >= 0);,1
axi_id_remap.sv,80,assert(DATA_WIDTH >= 0);,1
axi_id_remap.sv,81,assert(ID_WIDTH_IN >= 0);,1
axi_id_remap.sv,82,assert(ID_WIDTH_OUT >= 0);,1
axi_id_remap.sv,83,assert(USER_WIDTH >= 0);,1
axi_id_remap.sv,84,assert(in.AXI_ADDR_WIDTH == ADDR_WIDTH);,1
axi_id_remap.sv,85,assert(in.AXI_DATA_WIDTH == DATA_WIDTH);,1
axi_id_remap.sv,86,assert(in.AXI_ID_WIDTH == ID_WIDTH_IN);,1
axi_id_remap.sv,87,assert(in.AXI_USER_WIDTH == USER_WIDTH);,1
axi_id_remap.sv,88,assert(out.AXI_ADDR_WIDTH == ADDR_WIDTH);,1
axi_id_remap.sv,89,assert(out.AXI_DATA_WIDTH == DATA_WIDTH);,1
axi_id_remap.sv,90,assert(out.AXI_ID_WIDTH == ID_WIDTH_OUT);,1
axi_id_remap.sv,91,assert(out.AXI_USER_WIDTH == USER_WIDTH);,1
axi_lite_xbar.sv,103,assert(NUM_MASTER > 0);,1
axi_lite_xbar.sv,104,assert(NUM_SLAVE > 0);,1
axi_lite_xbar.sv,105,assert(NUM_RULES > 0);,1
axi_lite_xbar.sv,106,assert(rules.AXI_ADDR_WIDTH == ADDR_WIDTH);,1
axi_lite_xbar.sv,107,assert(rules.NUM_SLAVE == NUM_SLAVE);,1
axi_lite_xbar.sv,113,assert(master[i].AXI_ADDR_WIDTH == ADDR_WIDTH);,1
axi_lite_xbar.sv,114,assert(master[i].AXI_DATA_WIDTH == DATA_WIDTH);,1
axi_lite_xbar.sv,121,assert(slave[i].AXI_ADDR_WIDTH == ADDR_WIDTH);,1
axi_lite_xbar.sv,122,assert(slave[i].AXI_DATA_WIDTH == DATA_WIDTH);,1
axi_join.sv,23,assert(in.AXI_ADDR_WIDTH == out.AXI_ADDR_WIDTH);,1
axi_join.sv,24,assert(in.AXI_DATA_WIDTH == out.AXI_DATA_WIDTH);,1
axi_join.sv,25,assert(in.AXI_ID_WIDTH <= out.AXI_ID_WIDTH );,1
axi_join.sv,26,assert(in.AXI_USER_WIDTH == out.AXI_USER_WIDTH);,1
axi_lite_cut.sv,35,assert(ADDR_WIDTH >= 0);,1
axi_lite_cut.sv,36,assert(DATA_WIDTH >= 0);,1
axi_lite_cut.sv,37,assert(in.AXI_ADDR_WIDTH == ADDR_WIDTH);,1
