file_name,line_number,assertion_code,line_count
I3C_TOP_TB.sv,625,"assert property(EXIT_and_stop_pattern) $display(""%t EXIT_and_stop_pattern SUCCEEDED "",$time); else $display(""%t EXIT_and_stop_pattern FAILED "",$time);",3
axi_lite_to_reg.sv,44,assert(BUFFER_DEPTH > 0);,1
axi_lite_to_reg.sv,45,assert(ADDR_WIDTH > 0);,1
axi_lite_to_reg.sv,46,assert(DATA_WIDTH > 0);,1
easyprops.sv,172,assert(faxil_awr_outstanding == faxil_wr_outstanding);,1
easyprops.sv,183,assert(S_AXI_RDATA == 0);,1
easyprops.sv,323,assert property (IDATA_HELD_WHEN_NOT_READY);,1
easyprops.sv,327,assert property (IDATA_HELD_WHEN_NOT_READY);,1
easyprops.sv,332,assert property (IDATA_HELD_WHEN_NOT_READY);,1
easyaxil_tb.sv,229,assert(S_AXI_AWREADY == uut_AWREADY);,1
easyaxil_tb.sv,232,assert(S_AXI_WREADY == uut_WREADY);,1
easyaxil_tb.sv,235,assert(S_AXI_ARREADY == uut_ARREADY);,1
easyaxil_tb.sv,237,assert(S_AXI_BVALID == uut_BVALID);,1
easyaxil_tb.sv,238,assert(S_AXI_RVALID == uut_RVALID);,1
easyaxil_tb.sv,241,assert( S_AXI_BRESP == uut_BRESP );,1
axi_id_remap.sv,566,assert (InpIdWidth > 0);,1
axi_id_remap.sv,567,assert (MaxUniqInpIds > 0);,1
axi_id_remap.sv,569,assert (MaxTxnsPerId > 0);,1
axi_id_remap.sv,570,assert (IdxWidth >= 1);,1
axi_id_remap.sv,650,assert (slv.AXI_ID_WIDTH == AXI_SLV_PORT_ID_WIDTH);,1
axi_id_remap.sv,651,assert (slv.AXI_ADDR_WIDTH == AXI_ADDR_WIDTH);,1
axi_id_remap.sv,652,assert (slv.AXI_DATA_WIDTH == AXI_DATA_WIDTH);,1
axi_id_remap.sv,653,assert (slv.AXI_USER_WIDTH == AXI_USER_WIDTH);,1
axi_id_remap.sv,654,assert (mst.AXI_ID_WIDTH == AXI_MST_PORT_ID_WIDTH);,1
axi_id_remap.sv,655,assert (mst.AXI_ADDR_WIDTH == AXI_ADDR_WIDTH);,1
axi_id_remap.sv,656,assert (mst.AXI_DATA_WIDTH == AXI_DATA_WIDTH);,1
axi_id_remap.sv,657,assert (mst.AXI_USER_WIDTH == AXI_USER_WIDTH);,1
axi_iw_converter.sv,339,assert (slv.AXI_ID_WIDTH == AXI_SLV_PORT_ID_WIDTH);,1
axi_iw_converter.sv,340,assert (slv.AXI_ADDR_WIDTH == AXI_ADDR_WIDTH);,1
axi_iw_converter.sv,341,assert (slv.AXI_DATA_WIDTH == AXI_DATA_WIDTH);,1
axi_iw_converter.sv,342,assert (slv.AXI_USER_WIDTH == AXI_USER_WIDTH);,1
axi_iw_converter.sv,343,assert (mst.AXI_ID_WIDTH == AXI_MST_PORT_ID_WIDTH);,1
axi_iw_converter.sv,344,assert (mst.AXI_ADDR_WIDTH == AXI_ADDR_WIDTH);,1
axi_iw_converter.sv,345,assert (mst.AXI_DATA_WIDTH == AXI_DATA_WIDTH);,1
axi_iw_converter.sv,346,assert (mst.AXI_USER_WIDTH == AXI_USER_WIDTH);,1
axi_join.sv,29,assert(in.AXI_ADDR_WIDTH == out.AXI_ADDR_WIDTH);,1
axi_join.sv,30,assert(in.AXI_DATA_WIDTH == out.AXI_DATA_WIDTH);,1
axi_join.sv,31,assert(in.AXI_ID_WIDTH <= out.AXI_ID_WIDTH );,1
axi_join.sv,32,assert(in.AXI_USER_WIDTH == out.AXI_USER_WIDTH);,1
axi_lite_join.sv,29,assert(in.AXI_ADDR_WIDTH == out.AXI_ADDR_WIDTH);,1
axi_lite_join.sv,30,assert(in.AXI_DATA_WIDTH == out.AXI_DATA_WIDTH);,1
axi_test.sv,2023,assert (b_beat.b_id == id);,1
axi_test.sv,2096,assert (r_beat.r_id == id);,1
axi_test.sv,2097,assert (r_beat.r_last);,1
axi_id_serialize.sv,443,assert (slv.AXI_ID_WIDTH == AXI_SLV_PORT_ID_WIDTH);,1
axi_id_serialize.sv,444,assert (slv.AXI_ADDR_WIDTH == AXI_ADDR_WIDTH);,1
axi_id_serialize.sv,445,assert (slv.AXI_DATA_WIDTH == AXI_DATA_WIDTH);,1
axi_id_serialize.sv,446,assert (slv.AXI_USER_WIDTH == AXI_USER_WIDTH);,1
axi_id_serialize.sv,447,assert (mst.AXI_ID_WIDTH == AXI_MST_PORT_ID_WIDTH);,1
axi_id_serialize.sv,448,assert (mst.AXI_ADDR_WIDTH == AXI_ADDR_WIDTH);,1
axi_id_serialize.sv,449,assert (mst.AXI_DATA_WIDTH == AXI_DATA_WIDTH);,1
axi_id_serialize.sv,450,assert (mst.AXI_USER_WIDTH == AXI_USER_WIDTH);,1
axi_modify_address.sv,157,assert(AXI_SLV_PORT_ADDR_WIDTH > 0);,1
axi_modify_address.sv,158,assert(AXI_MST_PORT_ADDR_WIDTH > 0);,1
axi_modify_address.sv,159,assert(AXI_DATA_WIDTH > 0);,1
axi_modify_address.sv,160,assert(AXI_ID_WIDTH > 0);,1
axi_multicut.sv,86,assert(NoCuts >= 0);,1
axi_fifo.sv,157,assert (Depth >= 0);,1
axi_lite_to_axi.sv,109,assert(in.AXI_ADDR_WIDTH == out.AXI_ADDR_WIDTH);,1
axi_lite_to_axi.sv,110,assert(in.AXI_DATA_WIDTH == out.AXI_DATA_WIDTH);,1
axi_lite_to_axi.sv,111,assert(AXI_DATA_WIDTH == out.AXI_DATA_WIDTH);,1
tb_axi_cdc.sv,212,assert (mst_b == exp_b);,1
tb_axi_cdc.sv,220,assert (mst_r == exp_r);,1
tb_axi_cdc.sv,241,assert (slv_aw == exp_aw);,1
tb_axi_cdc.sv,245,assert (slv_w == exp_w);,1
tb_axi_cdc.sv,252,assert (slv_ar == exp_ar);,1
tb_axi_lite_regs.sv,204,assert (master.r_resp == axi_pkg::RESP_OKAY);,1
tb_axi_lite_regs.sv,259,assert (master.w_strb[i] == wr_active[aw_idx+i]);,1
tb_axi_to_axi_lite.sv,169,assert (aw_cnt == w_cnt && w_cnt == b_cnt);,1
tb_axi_to_axi_lite.sv,170,assert (ar_cnt == r_cnt);,1
tb_axi_modify_address.sv,177,assert(rand_success);,1
tb_axi_modify_address.sv,181,assert(rand_success);,1
tb_axi_atop_filter.sv,212,assert (downstream.aw_atop == '0);,1
tb_axi_atop_filter.sv,304,assert (downstream.ar_id == exp_beat.ax_id);,1
tb_axi_atop_filter.sv,305,assert (downstream.ar_addr == exp_beat.ax_addr);,1
